,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Added Fields that are greyed out and ,,,,,,,,,,,,,,,,,,,
CAN/US DESCRIPTION,CAN Supplier,CAD Manu/User CODES,,Notes,,Fields ,calculated for PFC viewing,,Netley Retail,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
HARDWARE,,,,,,,,,,,,,,,,,,,,,,,,,,
HARDWARE - SCREWS/CONNECTORS,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanging Rail (Custom Lengths),Hafele,H.290.11.907.CTS,,Add $3.00 Cut Charge for every Quantity,,,,,,,,,,,,,,,,,,,,,,
Hanging Rail 8ft  ,Hafele,H.290.11.901,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Hanging Rail 8ft,Hafele,H.290.11.907,,Add $3.00 Cut Charge for every Quantity,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
HANGING RAIL COVER,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanging Rail Cover White (Custom Lengths),Hafele,H.290.12.781.CTS,,,,Quantity x Length,Total costs per cut x Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Hanging Rail Cover White (Custom Lengths) (NEW),Hafele,H.290.12.790.CTS,,Add $3.00 Cut Charge for every Quantity,,,,,,,,,,,,,,,,,,,,,,
Hanging Rail Cover Black (Custom Lengths),Hafele,H.290.12.380.CTS,,,,Quantity x Length,Total costs per cut x Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Hanging Rail Cover Black (Custom Lengths) (NEW),Hafele,H.290.12.390.CTS,,Add $3.00 Cut Charge for every Quantity,,,,,,,,,,,,,,,,,,,,,,
Hanging Rail Cover Brown (Custom Lengths),Hafele,H.290.12.180.CTS,,,,Quantity x Length,Total costs per cut x Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Hanging Rail Cover Brown (Custom Lengths) (NEW),Hafele,H.290.12.190.CTS,,Add $3.00 Cut Charge for every Quantity,,,,,,,,,,,,,,,,,,,,,,
Hanging Rail Cover Beige (Custom Lengths),Hafele,H.290.12.481.CTS,,,,Quantity x Length,Total costs per cut x Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
